KOD;NAZEV;OBEC_KOD;MOP_KOD;SPRAVOBV_KOD;PORADI;PLATI_OD;PLATI_DO;DATUM_VZNIKU
554324;Lhotka;554821;;;4;22.01.2016 00:00:00;;24.11.1990 00:00:00
556904;Liberec (nečleněné město);563889;;;0;20.09.2022 00:00:00;;24.11.1990 00:00:00
556891;Liberec-Vratislavice nad Nisou;563889;;;1;25.08.2022 00:00:00;;24.11.1990 00:00:00
555339;Malé Hoštice;505927;;;2;22.11.2021 00:00:00;;01.04.1996 00:00:00
554286;Mariánské Hory a Hulváky;554821;;;5;22.01.2016 00:00:00;;24.11.1990 00:00:00
554570;Martinov;554821;;;6;15.02.2022 00:00:00;;24.11.1990 00:00:00
554430;Michálkovice;554821;;;7;22.01.2016 00:00:00;;24.11.1990 00:00:00
555436;Milostovice;505927;;;3;06.04.2022 00:00:00;;01.04.1996 00:00:00
545911;Moravská Ostrava a Přívoz;554821;;;8;22.01.2016 00:00:00;;24.11.1990 00:00:00
554219;Nová Bělá;554821;;;9;29.04.2022 00:00:00;;24.11.1990 00:00:00
554367;Nová Ves;554821;;;10;22.01.2016 00:00:00;;24.11.1990 00:00:00
555321;Opava (nečleněná část města);505927;;;0;21.09.2021 00:00:00;;01.04.1996 00:00:00
546135;Ostrava-Jih;554821;;;11;22.01.2016 00:00:00;;24.11.1990 00:00:00
574716;Pardubice I;555134;;;1;10.08.2022 00:00:00;;27.06.2000 00:00:00
555126;Pardubice II;555134;;;2;10.08.2022 00:00:00;;14.08.1996 00:00:00
557064;Pardubice III;555134;;;3;07.09.2021 00:00:00;;27.06.2000 00:00:00
555096;Pardubice IV;555134;;;4;30.11.2021 00:00:00;;14.08.1996 00:00:00
557072;Pardubice V;555134;;;5;04.07.2022 00:00:00;;27.06.2000 00:00:00
555100;Pardubice VI;555134;;;6;19.10.2021 00:00:00;;14.08.1996 00:00:00
555118;Pardubice VII;555134;;;7;25.07.2022 00:00:00;;14.08.1996 00:00:00
575020;Pardubice VIII;555134;;;8;15.11.2021 00:00:00;;20.10.2006 00:00:00
